feature,japanese_textiles_mean,japanese_textiles_std,sri_lankan_textiles_mean,sri_lankan_textiles_std,mean_difference,t_statistic,p_value,cohens_d,effect_size,n_group1,n_group2,significant_after_correction,significant_uncorrected,abs_cohens_d
avg_saturation,102.04772872924805,31.376978102740445,168.93280502319337,31.970334340391357,-66.88507629394532,-10.558007879828656,7.5015522290589e-18,-2.1116015759657314,very large,50,50,True,True,2.1116015759657314
shannon_entropy,4.977961921691895,0.24214053669832827,5.190679502487183,0.1538660047099829,-0.2127175807952879,-5.2428877949614305,1.1827178402330046e-06,-1.048577558992286,large,50,50,True,True,1.048577558992286
avg_b,105.88589164733887,19.888510696507648,83.8626466369629,23.100393837208138,22.023245010375973,5.108767516178534,1.6488536729334833e-06,1.0217535032357068,large,50,50,True,True,1.0217535032357068
avg_g,111.00980438232422,16.989966134763677,93.83402847290039,17.88893213342426,17.175775909423834,4.9227684104824,3.4644673941087744e-06,0.9845536820964801,large,50,50,True,True,0.9845536820964801
color_variance,3032.214341726154,1652.6193654122546,4332.36373569099,1102.933213319641,-1300.1493939648362,-4.627122588413089,1.3100710344869956e-05,-0.9254245176826178,large,50,50,True,True,0.9254245176826178
vertical_symmetry,0.8400607485737183,0.04420070940257268,0.8082578417556134,0.03268690586906849,0.031802906818104826,4.090673138058566,9.331909236301534e-05,0.8181346276117132,large,50,50,True,True,0.8181346276117132
gradient_std,127.3501197938662,39.52534212759883,157.61498273543623,37.876119586564926,-30.26486294157003,-3.909227864340009,0.00017076318453522515,-0.7818455728680018,medium,50,50,True,True,0.7818455728680018
dominant_color_1_b,110.40872881251943,49.495450224030755,73.75154718666882,49.683247279383,36.65718162585061,3.696067485556637,0.00036088828649315956,0.7392134971113273,medium,50,50,True,True,0.7392134971113273
lbp_uniformity,0.34049343603779564,0.06340899553316383,0.30233393068774606,0.045610085864687046,0.03815950535004958,3.4545216190459964,0.0008464243763098076,0.6909043238091993,medium,50,50,True,True,0.6909043238091993
lbp_energy,0.34049343603779564,0.06340899553316383,0.30233393068774606,0.045610085864687046,0.03815950535004958,3.4545216190459964,0.0008464243763098076,0.6909043238091993,medium,50,50,True,True,0.6909043238091993
dominant_color_1_g,112.88043692111145,60.64365251618504,71.61404471795414,59.85398971419537,41.26639220315731,3.424590336160563,0.0009006015468417701,0.6849180672321127,medium,50,50,True,True,0.6849180672321127
symmetry_score,0.8382820113940039,0.04513326566737199,0.8120931256581666,0.031028078171211292,0.02618888573583733,3.381109630464795,0.001083753162588513,0.6762219260929592,medium,50,50,True,True,0.6762219260929592
lbp_entropy,1.8409465821132118,0.26339222038745735,1.9966793436163288,0.19313115583869908,-0.155732761503117,-3.371579830594113,0.0011035379828023923,-0.6743159661188227,medium,50,50,True,True,0.6743159661188227
texture_complexity,2176.1777175189723,1332.340142577857,2985.3866374956438,1419.1349498191892,-809.2089199766715,-2.939538177863903,0.004103141089352526,-0.5879076355727805,medium,50,50,True,True,0.5879076355727805
dominant_color_4_freq,0.14048744201660157,0.034507943599473984,0.15847038269042968,0.02977655457429724,-0.017982940673828107,-2.7898530313544496,0.006361187937657441,-0.55797060627089,medium,50,50,True,True,0.55797060627089
dominant_color_2_freq,0.248609619140625,0.04531561346969378,0.2277801513671875,0.027573979945162266,0.0208294677734375,2.776606331934524,0.00682292291717845,0.5553212663869048,medium,50,50,True,True,0.5553212663869048
dominant_color_3_b,107.52270436061767,51.221562332239436,82.34880972531418,45.580778474673714,25.173894635303483,2.596142163515024,0.010897118436263488,0.5192284327030049,medium,50,50,True,True,0.5192284327030049
avg_value,148.80769081115722,19.78361143436466,158.20679077148438,16.439972590655085,-9.399099960327163,-2.583762103265014,0.011299665389277616,-0.5167524206530028,medium,50,50,True,True,0.5167524206530028
horizontal_symmetry,0.8365032742142894,0.04735757944426487,0.8159284095607198,0.03235124922906936,0.020574864653569613,2.5366898113777303,0.012983945999381182,0.5073379622755463,medium,50,50,True,True,0.5073379622755463
gradient_magnitude,152.23777992082572,60.306671006199714,178.214267432548,50.63836003622045,-25.976487511722297,-2.332543370995734,0.02177973215339057,-0.4665086741991468,small,50,50,False,True,0.4665086741991468
texture_contrast,1182.3122547859393,701.2347436726583,1515.9792463285296,760.8079299428948,-333.66699154259027,-2.2803051616404586,0.02477065763822869,-0.4560610323280917,small,50,50,False,True,0.4560610323280917
glcm_contrast,1182.3122547859393,701.2347436726583,1515.9792463285296,760.8079299428948,-333.66699154259027,-2.2803051616404586,0.02477065763822869,-0.4560610323280917,small,50,50,False,True,0.4560610323280917
dominant_color_3_freq,0.18011520385742188,0.03811774976972423,0.19338333129882812,0.022305212440082104,-0.013268127441406236,-2.124336397419973,0.03676803447068643,-0.4248672794839946,small,50,50,False,True,0.4248672794839946
motif_area_std,1974.2153333537126,2389.703200446867,1272.1003070116121,990.434761195648,702.1150263421005,1.9192294876234728,0.05932362626917995,0.38384589752469456,small,50,50,False,False,0.38384589752469456
dominant_color_2_b,104.13156904136063,52.06557389157813,84.53935081038001,51.22901042452348,19.59221823098062,1.8966701747265233,0.06081715746128539,0.3793340349453047,small,50,50,False,False,0.3793340349453047
dominant_color_5_r,148.2118709949384,48.68369406363932,127.18997728438691,62.91803722914217,21.021893710551495,1.8685158573451945,0.06486580902005228,0.37370317146903886,small,50,50,False,False,0.37370317146903886
dominant_color_2_r,143.57389986367545,61.63843464257487,167.68366389729508,71.12034205427236,-24.109764033619626,-1.811443701522659,0.07319729057195981,-0.3622887403045318,small,50,50,False,False,0.3622887403045318
glcm_homogeneity,0.08741863703731205,0.04048502125797036,0.10031528710259983,0.034810064723018556,-0.012896650065287785,-1.7079700580371209,0.09087892233105352,-0.34159401160742414,small,50,50,False,False,0.34159401160742414
dominant_color_1_freq,0.3281050109863281,0.06809583888670898,0.3058712768554688,0.06600035047443602,0.02223373413085933,1.657841288776424,0.10055041869924154,0.33156825775528476,small,50,50,False,False,0.33156825775528476
dominant_color_5_freq,0.10268272399902344,0.03593661915745336,0.11449485778808594,0.03632640182745319,-0.011812133789062498,-1.6345790415340242,0.10534606695699611,-0.32691580830680483,small,50,50,False,False,0.32691580830680483
glcm_dissimilarity,22.25702567483574,7.787233153522282,24.456944348266983,6.821398600994519,-2.1999186734312417,-1.5026228540739437,0.13620754893206433,-0.3005245708147887,small,50,50,False,False,0.3005245708147887
dominant_color_4_b,103.91560240887934,38.34616031857793,91.85097104476323,44.96982834748768,12.06463136411611,1.443502628350101,0.1521474652641493,0.2887005256700202,small,50,50,False,False,0.2887005256700202
warm_cool_score,0.13707496643066405,0.501996810574295,0.2517939758300781,0.2839710389157653,-0.11471900939941407,-1.4064779460382892,0.16358221829996686,-0.28129558920765785,small,50,50,False,False,0.28129558920765785
glcm_correlation,0.7220686398991948,0.1604348065525451,0.7538130804101334,0.11740808680127397,-0.03174444051093861,-1.129073750932098,0.2618743714975005,-0.2258147501864196,small,50,50,False,False,0.2258147501864196
dominant_color_3_g,113.25622462849068,58.062586197555085,99.593401653864,63.66020520992092,13.662822974626678,1.1212689780946015,0.2649364334804264,0.2242537956189203,small,50,50,False,False,0.2242537956189203
avg_motif_area,5624.147631395389,33597.88816101572,691.1301513120493,326.63528049844126,4933.017480083339,1.038162060687915,0.30428966886795294,0.20763241213758296,small,50,50,False,False,0.20763241213758296
glcm_asm,0.00023762651060633304,0.00022802655940781883,0.00019742502187987634,0.00015492522853456967,4.02014887264567e-05,1.031160415900576,0.30534711691713295,0.20623208318011524,small,50,50,False,False,0.20623208318011524
avg_circularity,0.08969259464008911,0.14432756599400148,0.06540410551560402,0.09438218716980389,0.024288489124485085,0.9959244281437628,0.3221326592989841,0.19918488562875256,negligible,50,50,False,False,0.19918488562875256
aspect_ratio_std,0.6680520389264938,0.5283587569899003,0.7529895172030807,0.3520269649110984,-0.08493747827658693,-0.9459877866916602,0.34682559059628476,-0.18919755733833205,negligible,50,50,False,False,0.18919755733833205
edge_density,0.24107925415039064,0.08585270643181066,0.2542118072509766,0.04907293323151465,-0.013132553100585947,-0.9390538509642166,0.35060457446556964,-0.1878107701928433,negligible,50,50,False,False,0.1878107701928433
dominant_color_3_r,146.87940439750912,54.36252365095168,135.40405961725108,76.5501479211349,11.475344780258041,0.8642401436932555,0.3897949734365115,0.17284802873865113,negligible,50,50,False,False,0.17284802873865113
glcm_energy,0.014134814566132834,0.006124780656166251,0.013234997465409902,0.004684957018334879,0.0008998171007229324,0.8251261738116813,0.41144093456592806,0.16502523476233624,negligible,50,50,False,False,0.16502523476233624
num_motifs,62.32,42.52895292309339,70.26,54.88533873597999,-7.940000000000005,-0.8085965484456044,0.42082769804822706,-0.16171930968912085,negligible,50,50,False,False,0.16171930968912085
dominant_color_4_g,111.48987747915864,42.26703341451189,103.28284365475443,59.51843104353085,8.207033824404206,0.794969700162778,0.42876033702129207,0.15899394003255563,negligible,50,50,False,False,0.15899394003255563
dominant_color_2_g,111.75792200451083,62.33737527196318,104.97469209878824,65.33204434298727,6.783229905722592,0.5311659295587775,0.5965082639069033,0.10623318591175551,negligible,50,50,False,False,0.10623318591175551
dominant_color_1_r,117.71248149379748,65.97184210689296,110.52648106287602,75.56103490875384,7.186000430921467,0.506565250575476,0.6136183780549939,0.1013130501150952,negligible,50,50,False,False,0.1013130501150952
dominant_color_4_r,140.75919290258523,51.65990869446147,146.3540435411398,70.12706129352365,-5.594850638554561,-0.4542043732058211,0.6507742371636135,-0.09084087464116421,negligible,50,50,False,False,0.09084087464116421
avg_r,133.75935279846192,22.391672736512987,135.3972858428955,17.790510814520296,-1.6379330444335949,-0.40498029094787397,0.6864196828611251,-0.0809960581895748,negligible,50,50,False,False,0.0809960581895748
dominant_color_5_b,108.22576181333481,54.5562340446144,105.97417753858835,58.8096670614759,2.251584274746463,0.1984724799193899,0.8430888719991032,0.03969449598387798,negligible,50,50,False,False,0.03969449598387798
avg_aspect_ratio,1.3040901713767017,0.42936137468466345,1.3139554931359863,0.45638977702558803,-0.009865321759284562,-0.11132621078727235,0.9115862065251883,-0.02226524215745447,negligible,50,50,False,False,0.02226524215745447
dominant_color_5_g,111.43932908889006,58.43489352669764,110.33200478497476,60.64071764280818,1.1073243039153056,0.0929774239625625,0.9261115704996319,0.018595484792512502,negligible,50,50,False,False,0.018595484792512502
high_freq_ratio,0.8958708918952845,0.049480199236723546,0.8962381585588814,0.03615533689676152,-0.0003672666635969879,-0.04237724461321606,0.9662921379702621,-0.008475448922643212,negligible,50,50,False,False,0.008475448922643212
